location,type,status,latitude,longitude,description
5757 South Cicero Ave,interior mural ,there,41.7884345, -87.74065739999999,"collaborative mural with chicago public schools, keith haring"
6405 South Kedzie Ave,Outdoor Mural,unknown,41.7769581, -87.70296710000001,"“university of hip hop”, southwest youth collaboration"
6351 South Kedzie Ave,Outdoor Mural,unknown,41.7777347, -87.7031027,"“university of hip hop”, southwest youth collaboration"
3134 West 63rd St,political/subversive,there,41.7792699, -87.70216599999999,"“university of hip hop”, southwest youth collaboration"
2795 South Damen Ave,altitude,unknown,41.8408479, -87.67539719999999,"abandoned silo, various artists"
825 West Sheridan Rd,Illegal Wall,unknown,41.9525079, -87.6505674,"defaced mural, various artists"
3601 North Lincoln Avenue,tribute,there,41.94731669999999, -87.6739935,"firemen tribute, chicago mural works"
4600 North Kenmore Ave,other/unknown,unknown,41.9654304, -87.6561923,unknown artist
6904 North Glenwood Avenue,Outdoor Mural,there,42.0069143, -87.6661975,unknown artist
600 South Paulina St,interior mural ,there,41.8737524, -87.6692025,"st. luke's medical center mural, keith haring"
2351 West 18th St,political/subversive,there,41.8571673, -87.68537099999999,"“prevent WWIII”, various artists"
2120 South Canal St,other/unknown,gone,41.8539559, -87.6388946,unknown artist
3130 West 27th St,permission wall ,there,41.8427138, -87.7037721,"airborne theme wall, various artists"
73 East Lake St,altitude,there,41.88542899999999, -87.6253739,"“loop tattoo”, johanna poethig"
1224 West Hubbard St,beautification,there,41.890281, -87.65839199999999,"hubbard street mural project, various artists"
1600 West Cortez St,permission wall ,unknown,41.9010449, -87.6674953,"underwater theme wall, various artists"
520 North Halsted St,advertisement,gone,41.89159060000001, -87.64763850000001,funky buddha lounge decoration 
701 West Ohio St,Outdoor Mural,unknown,41.89208199999999, -87.64604299999999,"nasa mural, chicago mural works "
1815 North Western Avenue,Outdoor Mural,there,41.91440799999999, -87.6872288,"“mother nature's son”, gamaliel ramirez"
1609 North Hoyne Avenue,tag/signature,unknown,41.91070999999999, -87.6798589,unknown artist
2121 West North Avenue,beautification,there,41.910106, -87.680784,"“arbol de vidal”, catherine cajandig 7 john weber"
1545 North Damen Avenue,advertisement,there,41.9094882, -87.677348,"“children's hospital” advertisement, adult swim"
1524 North Damen Avenue,advertisement,there,41.908943, -87.6774114,violet hour bar storefront decoration
2678 North Kedzie Avenue,Outdoor Mural,there,41.9292285, -87.7074962,"“home” mural, unknown artist"
2590 North Milwaukee Avenue,Illegal Wall,unknown,41.9278213, -87.70538529999999,"parking lot, various artists"
3252 North Broadway St.,interior mural ,there,41.9413046, -87.64445529999999,"“festival of mexico and south america”, gabriel villa"
2700 South Western Avenue,interior mural ,there,41.8438114, -87.6867626,"“la naturaleza, la familia, y la comunidad”, gabriel villa"
1119 West Cullerton St.,interior mural ,there,41.8551128, -87.65414229999999,"“unity”, gabriel villa"
1362 E 59th St,interior mural ,there,41.7878458, -87.5926846,"“timeline of the sciences”, gabriel villa"
W 31st St. & S Keeley St.,political/subversive,gone,41.8380072, -87.6513342,"“surveillance and spirituality”, gabriel villa"
N Damen Ave & W Chicago Ave.,permission wall ,unknown,41.8959097, -87.6770464,unknown artists
N Damen Ave & W Division St,tag/signature,unknown,41.9031812, -87.67726329999999,"“octopus”, unknown artist"
